אוֹ,"('R', 'CC')","('אוֹ', 'CC')",,
בַּנִּיתָּנִין,R,,,
לְמַעְלָה,"('R', 'RB')","('הֶעֱלָה', 'VB')","('מַעֲלֶה', 'NN')","('מַעֲלָה', 'NN')"
שֶׁנְּתָנָן,"('R', 'NNP')","('הִתְנָה', 'VB')","('תִּנָּה', 'VB')",
לְמַטָּה,"('R', 'RB')","('מַטֶּה', 'NN')","('מָט', 'VB')","('מִטָּה', 'NN')"
,,,,
וּלְעוֹלָם,"('R', 'RB')","('עוֹלָם', 'NN')","('עֹל', 'NN')",
דִּשְׁחָטָן,R,,,
וְקִבֵּל,"('R', 'NNT')","('קִבֵּל', 'VB')","('קָבַל', 'VB')","('קַבָּל', 'NN')"
דָּמָן,"('R', 'NN')","('דָּם', 'NN')",,
בַּצָּפוֹן,"('R', 'NN')","('צָפוֹן', 'NN')",,
אֲבָל,"('R', 'JJ')","('אֲבָל', 'CC')","('אֵבֶל', 'NN')","('אָבֵל', 'שֵם')"
הָכָא,A,הָכָא,,
כֵּיוָן,A,כֵּיוָן,,
דִּשְׁחָטָן,A,,,
בַּדָּרוֹם,"('R', 'NNP')","('דָּרוֹם', 'NN')",,
כְּמַאן,A,כְּמַאן,מַאן,
דְּחַנְקִינּוּן,A,חַנְקִנּוּן,,
דָּמֵי,A,דָּמֵי,,
,,,,
תְּנַן,A,תְּנַן,,
קׇדְשֵׁי,R,,,
קָדָשִׁים,"('R', 'NN')","('קָדֵשׁ', 'NN')","('קֹדֶשׁ', 'NN')",
שֶׁשְּׁחָטָן,"('R', 'NN')","('שָׁחַט', 'VB')",,
בַּדָּרוֹם,"('R', 'NN')","('דָּרוֹם', 'NN')",,
מוֹעֲלִין,"('R', 'BN')","('מָעַל', 'VB')",,
בָּהֶן,"('R', 'PRP')","('הֵן', 'RB')",,
בִּשְׁלָמָא,A,בִּשְׁלָמָא,שְׁלָמָא,
לְרַב,A,רַב,,
יוֹסֵף,"('R', 'VB')","('יוֹסֵף', 'A')","('יוֹסֵף', 'A')",
נִיחָא,A,נִיחָא,,
אֶלָּא,A,אֶלָּא,,
לְרַבָּה,A,רַבָּה,,
קַשְׁיָא,A,קַשְׁיָא,,
מַאי,A,מַאי,,
מוֹעֲלִין,"('R', 'BN')","('מָעַל', 'VB')",,
בָּהֶן,"('R', 'PRP')","('הֵן', 'RB')",,
מִדְּרַבָּנַן,A,דְּרַבָּנַן,רַבָּנַן,
,,,,
מַאי,A,מַאי,,
אִיכָּא,A,אִכָּא,,
בֵּין,"('R', 'NN')","('בֵּין', 'IN')","('בֵּין', 'Prefix')",
דְּאוֹרָיְיתָא,A,דְּאוֹרָיְיתָא,,
לְרַבָּנַן,A,רַבָּנַן,,
דְּאוֹרָיְיתָא,A,דְּאוֹרָיְיתָא,,
מְשַׁלְּמִין,"('R', 'NNT')","('שִׁלֵּם', 'VB')","('שָׁלֵם', 'JJ')",
חוֹמֶשׁ,R,,,
דְּרַבָּנַן,A,דְּרַבָּנַן,רַבָּנַן,
לָא,A,לָא,,
,,,,
וּמִי,"('A', 'yyDOT')","('מִי', 'HAM')","('מַיִם', 'שֵם ז""ר')","('מִי', 'A')"
אִיכָּא,A,אִכָּא,,
מְעִילָה,"('R', 'NN')","('מְעִילָה', 'NN')","('מְעִיל', 'NN')","('עִלָּה', 'NN')"
מִדְּרַבָּנַן,A,דְּרַבָּנַן,רַבָּנַן,
אִין,"('A', 'yyDOT')","('אֵין', 'RB')","('אַיִן', 'NN')","('אַיִן', 'RB')"
דְּאָמַר,A,אָמַר,,
עוּלָּא,A,,,
אָמַר,"('R', 'VB')","('אָמַר', 'VB')","('הֵמַר', 'VB')",
רַבִּי,"('R', 'NN')","('רַבִּי', 'NN')","('רַב', 'JJ')","('רַבִּים', 'שֵם ז""ר')"
יוֹחָנָן,"('R', 'NNP')","('יוֹחָנָן', 'A')",,
קָדָשִׁים,"('R', 'NN')","('קָדֵשׁ', 'NN')","('קֹדֶשׁ', 'NN')",
